,show_title,genres,
375,hell dogs - in the house of bamboo -,"Action,Crime,Drama ",
376,jujutsu kaisen 0: the movie,"Animation,Action,Fantasy ",
377,guardians of the tomb,"Action,Adventure,Horror ",
378,café minamdang,"Comedy,Crime,Drama ",
379,bulgasal: immortal souls,"Drama,Fantasy,Thriller ",
380,the thieves,"Action,Comedy,Crime",
381,inspector koo,"Action,Comedy,Thriller ",
382,demon slayer -kimetsu no yaiba- the movie: mugen train,"Animation,Action,Adventure ",
383,bg personal bodyguard,Drama ,
384,mobile suit gundam hathaway,"Animation,Action,Drama ",
385,#atfirstsight,"Drama,Romance",
386,island of hope,"Documentary,Short ",
387,we started together,"Comedy,Drama,Romance ",
388,be my dad!,Comedy ,
389,christmas flame,"Comedy,Romance ",
390,stop my stepmom,"Comedy,Family,Musical ",
391,dem horizont so nah,"Drama,Romance ",
392,untold: caitlyn jenner,"Documentary,Biography,Sport ",
393,kushi (tamil),"Comedy,Drama,Romance ",
394,bhola shankar,"Action,Crime,Drama ",
395,asvins (telugu),"Horror,Thriller ",
396,takkar (telugu),"Action,Drama,Romance ",
397,dasara (tamil),"Action,Adventure,Drama ",
398,tegimpu,"Action,Adventure ",
399,matti kusthi,"Comedy,Drama,Romance ",
400,love today (telugu),"Comedy,Drama,Romance ",
401,kalagathalaivan,"Action,Thriller ",
402,the ghost (tamil),"Action,Thriller ",
403,dongalunnaru jagratha,Thriller,
404,katteri,"Adventure,Comedy,Horror ",
405,ante sundaraniki,"Comedy,Romance ",
406,ante sundaraniki (tamil),"Comedy,Romance ",
407,major (telugu),"Action,Biography,Drama ",
408,virata parvam,"Action,Drama,Romance ",
409,jana 2022 (telugu),"Crime,Drama,Thriller ",
410,beast (telugu),"Action,Thriller ",
411,etharkkum thunindhavan (telugu),"Action,Crime,Drama ",
412,hey sinamika (telugu),"Drama,Romance ",
413,kurup (telugu),"Biography,Crime,Thriller ",
414,kurup (tamil),"Biography,Crime,Thriller ",
415,annaatthe (telugu),"Action,Comedy,Drama ",
416,doctor (telugu),"Action,Comedy,Crime ",
417,never back down 3,"Action,Sport",
418,tughlaq durbar (telugu),"Comedy,Drama,Thriller ",
419,roohi,"Comedy,Horror",
420,miraculous brothers,"Drama,Fantasy,Mystery ",
421,red cliff: theatrical version,"Action,Adventure,Drama ",
422,cross the line,"Drama,Thriller",
423,jakarta vs everybody,Drama,
424,miracle in cell no.7,Drama,
425,check the store next door 2,"Comedy,Drama ",
426,sacred 2,"Drama,Horror ",
427,love destiny the movie,"Comedy,History,Romance ",
428,the red point of marriage,"Drama,Romance ",
429,filosofi kopi the series,Drama ,
430,dali & cocky prince,"Comedy,Drama,Romance ",
431,the land of five towers,"Adventure,Drama,Family",
432,lost city of z,"Adventure,Biography,Drama",
433,green mothers' club,"Drama,Mystery",
434,secret royal inspector & joy,"Comedy,Drama,History",
435,dear nathan thank you salma,"Drama,Romance",
436,run to the beach,"Adventure,Comedy,Family",
437,rurouni kenshin: kyoto inferno,"Action,Adventure,Drama",
438,twivortiare: is it love?,"Drama,Romance",
439,couple on the backtrack,"Drama,Fantasy,Romance",
440,"sultan agung: throne, rebellion, and love","Action,Drama,History",
441,ali & ratu ratu queens,"Comedy,Drama",
442,bigfoot junior,"Animation,Adventure,Comedy",
443,rich holiday poor holiday,Reality-TV,
444,penguins of madagascar: the movie,"Animation,Action,Adventure",
445,adele: 30 greatest moments,"Documentary,Biography,Music",
446,"meet, marry, murder",Crime,
447,sex and the city: the movie,"Comedy,Drama,Romance",
448,help,Drama,
449,one for the money,"Action,Comedy,Crime",
450,untouchable,"Documentary,Biography,Crime",
451,rise of the footsoldier: marbella,"Action,Comedy,Crime",
452,the secret of the greco family,"Crime,Drama",
453,the undecided groom,"Drama,Romance",
454,una femmina,"Crime,Drama,Thriller",
455,ma cosa ci dice il cervello,Comedy,
456,corro da te,"Comedy,Romance",
457,giorgio panariello: la favola mia,,
458,un figlio di nome erasmus,Comedy,
459,tre metri sopra il cielo,Romance,
460,una notte da dottore,Comedy,
461,viola come il mare,"Action,Comedy,Crime",
462,io sono l'abisso,Thriller,
463,stolen days,Drama,
464,girl by the lake,"Drama,Mystery,Thriller",
465,l'uomo del labirinto,"Crime,Drama,Horror",
466,gli sdraiati,"Comedy,Drama",
467,la paranza dei bambini,"Crime,Drama",
468,compromessi sposi,Comedy,
469,moschettieri del re,"Adventure,Comedy",
470,lo chiamavano trinità...,"Comedy,Western",
471,la casa di famiglia,Comedy,
472,me against you: mr. s's vendetta,"Comedy,Family",
473,come un gatto in tangenziale,Comedy,
474,noi e la giulia,Comedy,
475,one piece stampede,"Animation,Action,Adventure",
476,air force the movie: danger close,"Action,Adventure,War",
477,immersion,Thriller,
478,my beautiful man -eternal-,Thriller,
479,company ain't no school,Drama,
480,babywalkure,"Action,Comedy,Drama",
481,jigoku-no-hanazono ~office royale~,"Action,Comedy",
482,signal the movie cold case investigation unit,"Crime,Drama,Sci-Fi",
483,the confidence man jp - episode of princess -,"Comedy,Crime",
484,the way of the househusband: the movie,"Action,Comedy",
485,hayabusa fire brigade,Adventure,
486,gamera  -rebirth-,"Animation,Action,Adventure",
487,crayon shinchan the movie: the tornado legend of ninja mononoke,"Animation,Action,Adventure",
488,doraemon: nobita's little star wars 2021,"Animation,Action,Adventure",
489,building n,Horror,
490,tokyo crime squad: the lucie blackman case,"Documentary,Crime",
491,ōoku: the inner chambers,"Animation,Drama,Fantasy",
492,legal enforcement with dogs,"Comedy,Drama",
493,"night, birds scream","Drama,Romance",
494,logically impossible! detective ryoko kamizuru is on the case,Mystery,
495,tokkai: bad asset wars,Drama,
496,war of trap,"Drama,War",
497,why didn’t i tell you a million times?,"Drama,Fantasy,Romance",
498,doraemon the movie: nobita's great adventure in the antarctic kachi kochi,"Animation,Adventure,Comedy",
499,tiger and dragon,"Comedy,Drama",
500,boys over flowers final: theatrical cut,Drama,
501,jump!!: the heroes behind the gold,"Biography,Drama,Sport",
502,saihara the loan shark,"Crime,Drama",
503,ushijima the loan shark part 2,Comedy,
504,a family,"Crime,Drama",
505,doctor x surgeon michiko daimon,"Comedy,Drama,Mystery",
506,a beloved wife,"Comedy,Drama",
507,7 secretaries,Mystery,
508,high & low the worst,Action,
